Time_s,ax_g,ay_g,az_g,wx_deg_s,wy_deg_s,wz_deg_s,AngleX_deg,AngleY_deg,AngleZ_deg,Label
01:36.4,0.4814,0.7148,0.5259,-29.0527,25.5737,-25.8179,50.5096,-33.7939,-125.5737,lunge
01:36.4,0.4512,1.043,0.6689,28.0762,-18.3716,-8.1787,51.026,-31.3879,-125.9473,lunge
01:36.6,0.3491,0.5205,0.6611,-20.3857,-4.8218,-0.8545,49.7736,-31.8549,-127.348,lunge
01:36.6,0.54,0.8101,0.6362,14.1602,-28.8696,12.6953,51.1908,-33.5962,-129.1992,lunge
01:36.8,0.7285,0.8794,0.5859,26.3672,-58.5938,46.5088,55.1953,-37.8424,-131.0889,lunge
01:36.8,0.7231,0.8232,0.481,63.6597,-55.603,84.5947,60.4358,-45.8405,-132.3907,lunge
01:36.8,0.9736,0.6714,0.2144,29.4189,-49.0112,138.3667,62.7045,-57.1014,-128.5071,lunge
01:37.0,0.8574,0.127,0.1475,-47.0581,-73.8525,70.7397,61.9354,-67.9889,-130.7208,lunge
01:37.0,0.5278,0.0864,0.0576,9.0332,-32.3486,87.0361,58.7769,-78.1622,-129.8419,lunge
01:37.2,0.8076,0.0752,-0.0186,-27.832,-28.6255,14.5264,87.8137,-84.2542,-158.1042,lunge
01:37.2,0.9775,0.1626,-0.106,84.8999,-54.8706,19.043,137.1423,-85.6384,155.885,lunge
01:37.4,1.1812,0.0986,-0.0669,-84.0454,-4.5166,8.3618,147.6398,-82.5293,146.272,lunge
01:37.4,0.9854,-0.0308,-0.3184,175.8423,-25.4517,11.7798,162.7185,-83.0841,131.3635,lunge
01:37.6,0.9458,0.1733,-0.022,-35.3394,20.0195,6.3477,178.83,-83.1171,117.8943,lunge
01:37.7,0.9297,0.001,-0.2803,46.6919,19.043,6.6528,-173.6005,-81.5076,108.2703,lunge
01:37.8,0.8618,-0.0107,-0.2144,54.2603,3.1738,19.2871,-159.0985,-82.8589,97.5201,lunge
01:37.8,0.6772,0.0635,-0.0146,-5.188,55.481,19.4702,-134.8187,-84.6167,77.4591,lunge
01:38.0,0.8276,-0.6997,-0.1948,-161.6821,33.5083,-20.0806,-142.2345,-85.2704,79.1345,lunge
01:38.0,0.9497,-0.4541,-0.0776,48.4619,40.8325,0.6104,-95.9052,-85.4791,31.2726,lunge
01:38.2,0.73,-0.3691,-0.0161,-137.6953,-45.2271,-4.6997,-76.9812,-85.4626,7.4268,lunge
